window_start,packet_count,bytes_per_second,unique_protocols,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,avg_packet_size,is_baseline
1741695540,215,1387.6,0,11,11,12,13,387.2372093023256,True
1741695600,886,5789.416666666667,0,20,23,43,43,392.05981941309255,True
1741695660,565,3140.55,0,16,18,31,31,333.50973451327434,True
1741695720,708,4323.333333333333,0,16,18,31,26,366.38418079096044,True
1741695780,5685,70047.61666666667,0,39,38,129,130,739.2888302550572,True
1741695840,114246,1986632.1833333333,0,37,38,109,103,1043.344458449311,True
1741695900,2094,19553.883333333335,0,27,27,41,38,560.2831900668577,True
1741695960,334264,5892223.133333334,0,44,48,228,227,1057.647212981356,True
1741696020,2983,24597.016666666666,0,36,42,65,57,494.7438819979886,True
1741696080,2695,14579.816666666668,0,46,54,151,142,324.5970315398887,True
1741696140,15820,289849.8,0,38,38,91,91,1099.3039190897598,True
1741696200,200,390.6,0,15,16,22,21,117.18,True
1741696260,529,2957.1833333333334,0,14,14,31,31,335.4083175803403,True
1741696320,194,1046.9333333333334,0,9,10,10,9,323.7938144329897,True
1741696380,277,557.9166666666666,0,18,22,26,21,120.84837545126354,True
1741696440,152,460.21666666666664,0,9,8,11,12,181.66447368421052,True
1741696500,259,900.1666666666666,0,10,10,18,18,208.53281853281854,True
1741696560,9667,105227.91666666667,0,30,31,106,100,653.1162718526947,True
1741696620,84854,1478167.4166666667,0,37,39,111,109,1045.2075918636717,True
1741696680,11388,163767.71666666667,0,44,47,168,164,862.8436073059361,True
1741696740,916,6989.566666666667,0,18,17,26,28,457.83187772925766,True
1741696800,224,844.1,0,13,14,22,20,226.09821428571428,True
1741696860,154,1124.3333333333333,0,10,12,16,13,438.05194805194805,True
1741696920,1289,13181.583333333334,0,29,33,58,52,613.5725368502715,True
1741696980,323,1434.3333333333333,0,11,11,16,17,266.4396284829721,True
1741697040,360,1065.4833333333333,0,13,14,19,19,177.58055555555555,True
1741697100,114,520.2166666666667,0,7,7,12,12,273.79824561403507,True
1741697160,555,2791.9,0,17,17,32,32,301.82702702702704,True
1741697220,247,1052.8,0,12,12,43,43,255.7408906882591,True
1741697280,25,29.883333333333333,0,5,5,5,5,71.72,True
1741697340,37,99.58333333333333,0,6,6,7,8,161.48648648648648,True
1741697400,850,8556.283333333333,0,14,17,25,26,603.9729411764706,True
1741697460,1113,9977.033333333333,0,22,23,41,41,537.8454627133873,True
1741697520,2249,22571.85,0,30,31,75,75,602.1836371720765,True
1741697580,1590,18591.083333333332,0,17,17,25,25,701.5503144654089,True
1741697640,2404,28682.75,0,13,14,23,22,715.8756239600666,True
1741697700,700,5572.966666666666,0,17,18,38,38,477.68285714285713,True
1741697760,410,1803.9833333333333,0,20,25,36,29,263.99756097560976,True
1741697820,110,222.8,0,10,9,12,13,121.52727272727273,True
1741697880,4470,54147.066666666666,0,19,19,64,57,726.8062639821029,True
1741697940,6326,78329.71666666666,0,40,40,143,145,742.9312361681948,True
1741698000,272,801.9,0,15,15,20,20,176.88970588235293,True
1741698060,2155,16789.833333333332,0,29,30,51,48,467.4663573085847,True
1741698120,521,6119.25,0,15,16,21,21,704.7120921305183,True
1741698180,4044,46372.03333333333,0,20,28,81,72,688.0123639960435,True
1741698240,4555,57622.3,0,37,39,88,86,759.0204171240396,True
1741698300,534,2871.75,0,25,26,56,56,322.6685393258427,True
1741698360,906,7729.783333333334,0,24,25,39,38,511.90618101545255,True
1741698420,607,4587.916666666667,0,17,18,25,19,453.500823723229,True
1741698480,462,3435.8333333333335,0,24,27,43,37,446.2121212121212,True
1741698540,118,405.4166666666667,0,10,10,13,14,206.14406779661016,True
1741698600,301,1384.65,0,12,12,28,26,276.00996677740864,True
1741698660,726,4982.116666666667,0,19,19,40,39,411.74517906336087,True
1741698720,1052,9826.966666666667,0,18,20,36,36,560.4733840304183,True
1741698780,2988,30903.033333333333,0,32,32,85,85,620.5428380187416,True
1741698840,403,3074.25,0,17,19,31,29,457.7047146401985,True
1741698900,301,811.1333333333333,0,18,20,28,25,161.68770764119603,True
1741698960,1027,7941.333333333333,0,23,26,37,33,463.95326192794545,True
1741699020,300,1498.6333333333334,0,21,24,34,31,299.7266666666667,True
1741699080,341,1177.6333333333334,0,19,18,48,48,207.20821114369502,True
1741699140,72,442.1666666666667,0,11,12,12,11,368.47222222222223,True
