window_id,window_start,packet_count,bytes_per_second,avg_packet_size,packet_size_std,unique_protocols,unique_src_ips,unique_dst_ips,unique_src_ports,unique_dst_ports,unique_ip_pairs,unique_port_pairs,unique_connections,dns_query_count,bytes_in,bytes_out,packets_in,packets_out,io_bytes_ratio,io_packet_ratio,new_connections,syn_count,fin_count,rst_count,syn_fin_ratio,connection_termination_ratio,retransmission_count,retransmission_rate,internal_external_ratio,ttl_mean,ttl_std,http_get_count,http_post_count,http_other_count,is_baseline,file_source
29038135,1742288100,1625,13667.266666666666,504.63753846153844,560.903561989405,0,27,28,68,49,52,109,112,20,481815,317578,748,749,1.5171548407005524,0.9986648865153538,24,24,5,18,4.8,0.9583333333333334,25,0.015384615384615385,0.12244897959183673,73.87703889585947,33.60350682638807,0,0,0,True,baseline_day4.pcap
29038136,1742288160,12678,158984.05,752.409133932797,584.7699549453938,0,51,53,166,120,103,267,285,47,8636518,854196,8023,4302,10.11069824724068,1.8649465364946536,80,80,35,25,2.2857142857142856,0.75,105,0.008282063416942735,0.07216494845360824,62.61481188118812,24.685137758431285,1,0,0,True,baseline_day4.pcap
29038137,1742288220,3390,37162.11666666667,657.7365781710914,646.2393279250518,0,36,34,62,56,68,106,120,14,1578173,641380,1926,1376,2.460589666032617,1.3997093023255813,14,14,12,9,1.1666666666666667,1.5,22,0.006489675516224189,0.1864406779661017,91.34176838344746,32.89185709476652,0,0,0,True,baseline_day4.pcap
29038138,1742288280,2730,22836.666666666668,501.9047619047619,558.3232069186429,0,32,32,106,82,61,174,183,33,1009574,337259,1431,1059,2.993467928209477,1.3512747875354107,28,28,12,18,2.3333333333333335,1.0714285714285714,20,0.007326007326007326,0.14285714285714285,67.325468164794,28.122179713208936,0,0,0,True,baseline_day4.pcap
29038139,1742288340,702,2291.85,195.8846153846154,291.2211485137389,0,30,26,55,51,57,86,89,11,26984,43743,122,158,0.6168758429920216,0.7721518987341772,33,33,24,13,1.375,1.121212121212121,1,0.0014245014245014246,0.2727272727272727,81.2054054054054,58.171423958643025,0,0,0,True,baseline_day4.pcap
29038140,1742288400,1400,6609.45,283.26214285714286,408.43066100937017,0,35,40,104,87,76,163,153,20,223443,85710,433,447,2.6069653482674133,0.9686800894854586,59,59,49,41,1.2040816326530612,1.5254237288135593,13,0.009285714285714286,0.15384615384615385,74.41784989858012,47.596979529018284,0,0,0,True,baseline_day4.pcap
29038141,1742288460,771,3396.383333333333,264.3099870298314,396.3304228011559,0,17,20,52,45,36,78,68,7,77667,61428,139,223,1.264358273100215,0.6233183856502242,36,36,20,10,1.8,0.8333333333333334,2,0.0025940337224383916,0.27586206896551724,91.15102974828375,62.22973661423386,0,0,0,True,baseline_day4.pcap
29038142,1742288520,6838,78749.86666666667,690.9903480549868,582.4433770057035,0,34,34,145,96,68,220,230,57,4265583,421735,3867,2587,10.11436802731573,1.4947816003092385,31,31,13,11,2.3846153846153846,0.7741935483870968,7,0.0010236911377595789,0.15254237288135594,54.617664405780005,24.945270686212304,1,0,0,True,baseline_day4.pcap
29038143,1742288580,3981,44653.583333333336,673.0005023863351,636.0731016994827,0,49,48,143,114,95,234,229,38,2157731,443513,2191,1227,4.865090763968587,1.7856560717196415,88,88,31,18,2.838709677419355,0.5568181818181818,23,0.005777442853554383,0.11494252873563218,118.25171373731834,87.02180692127389,2,0,0,True,baseline_day4.pcap
29038144,1742288640,1515,15903.05,629.8237623762376,665.6954694522194,0,25,26,61,44,50,85,95,16,834869,102908,828,525,8.112770630077351,1.5771428571428572,10,10,26,20,0.38461538461538464,4.6,8,0.005280528052805281,0.18604651162790697,60.855463347164594,30.148764300117456,0,0,0,True,baseline_day4.pcap
29038145,1742288700,20690,315222.15,914.1289995166748,664.6694704252875,0,31,32,139,113,63,223,198,32,18052299,708873,12978,6712,25.466196342645297,1.9335518474374256,102,102,72,30,1.4166666666666667,1.0,349,0.016868052199130016,0.21153846153846154,58.144374311191264,15.857160836870813,0,0,0,True,baseline_day4.pcap
29038146,1742288760,6219,86202.5,831.6690786300048,697.4566794720101,0,31,35,121,109,66,206,205,19,4832513,260270,3679,2020,18.567307027317785,1.8212871287128714,127,127,120,18,1.0583333333333333,1.0866141732283465,9,0.001447178002894356,0.2,62.68960794384523,21.92624427911286,0,0,0,True,baseline_day4.pcap
29038147,1742288820,1495,6870.0,275.7190635451505,419.4485916947491,0,42,45,85,74,85,140,129,11,219185,127914,527,564,1.7135340932188814,0.9343971631205674,48,48,66,36,0.7272727272727273,2.125,43,0.028762541806020066,0.11538461538461539,75.01312335958005,51.04689490626202,0,0,0,True,baseline_day4.pcap
29038148,1742288880,805,3304.133333333333,246.27080745341615,387.46831561744835,0,24,24,50,47,49,79,76,8,68913,60682,168,217,1.1356415411489404,0.7741935483870968,30,30,38,17,0.7894736842105263,1.8333333333333333,13,0.016149068322981366,0.2631578947368421,79.86917960088692,54.832283723654406,0,0,0,True,baseline_day4.pcap
29038149,1742288940,1197,3691.8333333333335,185.05430242272348,268.67716334641926,0,22,24,73,71,46,121,86,12,48676,42159,198,227,1.1545814654047772,0.8722466960352423,54,54,53,20,1.0188679245283019,1.3518518518518519,17,0.014202172096908938,0.21052631578947367,80.794921875,55.97096531763273,0,0,0,True,baseline_day4.pcap
29038150,1742289000,716,4006.1,335.7067039106145,467.37344119074265,0,22,21,43,39,41,69,77,11,173404,49920,290,246,3.4736378205128204,1.1788617886178863,12,12,7,7,1.7142857142857142,1.1666666666666667,14,0.019553072625698324,0.2647058823529412,64.8914858096828,37.135539915792855,0,0,0,True,baseline_day4.pcap
29038151,1742289060,861,6172.133333333333,430.1138211382114,576.179516206611,0,28,26,60,52,52,92,102,14,94019,51655,202,217,1.8201335785499952,0.9308755760368663,28,28,8,6,3.5,0.5,19,0.022067363530778164,0.2857142857142857,75.46601941747574,50.61271484096105,0,0,0,True,baseline_day4.pcap
29038152,1742289120,21122,390354.7833333333,1108.8574472114383,576.9864899714553,0,51,51,165,117,100,263,252,47,22623904,715271,16843,3660,31.629835405042286,4.601912568306011,66,66,23,25,2.869565217391304,0.7272727272727273,239,0.011315216362086924,0.0851063829787234,57.25554377169302,11.158946910289389,0,0,0,True,baseline_day4.pcap
29038153,1742289180,7581,81334.43333333333,643.723255507189,619.6921913356514,0,62,63,176,119,122,284,294,55,4284400,562286,4353,2885,7.619609949385189,1.508838821490468,109,109,37,38,2.945945945945946,0.6880733944954128,130,0.017148133491623797,0.07758620689655173,65.31285733280149,32.95970804331778,0,0,0,True,baseline_day4.pcap
29038154,1742289240,1646,15965.166666666666,581.9623329283111,657.5139394706416,0,24,25,59,50,48,93,63,12,821553,40249,664,396,20.41176178290144,1.6767676767676767,68,68,41,23,1.6585365853658536,0.9411764705882353,39,0.023693803159173753,0.16666666666666666,60.39010989010989,34.731964423786586,0,0,0,True,baseline_day4.pcap
29038155,1742289300,24824,451017.05,1090.1153319368352,645.657380053232,0,34,32,76,62,62,120,126,20,26412864,616772,17947,6629,42.824356488297134,2.7073465077688943,37,37,19,16,1.9473684210526316,0.9459459459459459,525,0.021148888172736063,0.15789473684210525,57.106326960466625,9.986628072962956,1,0,0,True,baseline_day4.pcap
29038156,1742289360,1323,5871.633333333333,266.2872260015117,413.0455117174151,0,37,38,92,80,75,150,146,17,184721,97672,410,461,1.891238021131952,0.8893709327548807,60,60,60,36,1.0,1.6,22,0.016628873771730914,0.13636363636363635,76.11503531786074,48.56203587088467,0,0,0,True,baseline_day4.pcap
29038157,1742289420,1199,4515.25,225.9507923269391,347.32752134912687,0,39,44,93,73,80,152,129,10,83071,60693,206,282,1.3687080882474092,0.7304964539007093,62,62,61,50,1.0163934426229508,1.7903225806451613,43,0.03586321934945788,0.12162162162162163,88.35195530726257,65.30416557770728,0,0,0,True,baseline_day4.pcap
29038158,1742289480,623,2484.6833333333334,239.29534510433388,368.71764168279674,0,17,16,52,50,32,82,69,12,62546,15108,109,112,4.139925867090283,0.9732142857142857,28,28,21,7,1.3333333333333333,1.0,28,0.0449438202247191,0.375,71.96958174904942,53.76818842156441,0,0,0,True,baseline_day4.pcap
29038159,1742289540,281,736.8166666666667,157.32740213523132,274.12056650069206,0,16,17,30,30,31,44,45,7,10169,11556,71,80,0.879975770162686,0.8875,6,6,7,7,0.8571428571428571,2.3333333333333335,2,0.0071174377224199285,0.2692307692307692,78.94708994708995,53.3211033050626,0,0,0,True,baseline_day4.pcap
29038160,1742289600,11659,186726.31666666668,960.9382451325157,685.4792114560497,0,30,29,83,73,58,141,124,21,10139829,995305,7395,3824,10.187660064000482,1.9338389121338913,73,73,44,18,1.6590909090909092,0.8493150684931506,236,0.020241873230980357,0.1346153846153846,58.1233312704447,10.79665921176851,0,0,0,True,baseline_day4.pcap
29038161,1742289660,2356,16928.933333333334,431.12733446519525,571.0614576120286,0,29,28,109,101,53,193,207,19,796143,200341,1058,1124,3.973939433266281,0.9412811387900356,115,115,148,31,0.777027027027027,1.5565217391304347,111,0.04711375212224109,0.2127659574468085,73.85626911314985,25.698827919976466,0,0,0,True,baseline_day4.pcap
29038162,1742289720,1709,18577.633333333335,652.2282036278525,678.5405072742858,0,20,22,47,40,40,75,79,14,95825,962949,666,904,0.09951201984736471,0.7367256637168141,10,10,23,11,0.43478260869565216,3.4,59,0.03452311293153891,0.16666666666666666,61.42296072507553,19.15836257332303,0,0,0,True,baseline_day4.pcap
29038163,1742289780,3419,36252.13333333333,636.1883591693478,625.7591906606832,0,33,31,85,68,61,138,130,21,1658383,375556,1645,1284,4.415807496085804,1.2811526479750779,34,34,25,6,1.36,0.9117647058823529,31,0.009066978648727698,0.16363636363636364,60.04646660212972,16.99058552225113,0,0,0,True,baseline_day4.pcap
29038164,1742289840,1925,15013.15,467.94233766233765,587.6396362819652,0,31,31,63,60,62,107,96,10,188916,592538,655,850,0.3188251217643425,0.7705882352941177,68,68,57,26,1.1929824561403508,1.2205882352941178,102,0.052987012987012985,0.16981132075471697,69.10333963453056,34.76404443269181,0,0,0,True,baseline_day4.pcap
29038165,1742289900,2174,16926.45,467.1513339466421,540.2279014172645,0,24,25,66,60,47,106,97,14,85107,858451,664,1046,0.09914019553824271,0.6347992351816444,32,32,30,11,1.0666666666666667,1.28125,154,0.07083716651333946,0.1951219512195122,62.92080312325711,25.56612495362121,0,0,0,True,baseline_day4.pcap
29038166,1742289960,6888,49017.05,426.977787456446,321.3791743308747,0,23,24,43,41,46,69,62,9,299772,2578997,1965,4559,0.11623588550122392,0.4310155735906997,31,31,29,6,1.0689655172413792,1.1290322580645162,303,0.043989547038327526,0.2702702702702703,60.534248665141114,17.84923324859865,0,0,0,True,baseline_day4.pcap
29038167,1742290020,15623,241190.6,926.2904691800551,662.6694334840325,0,32,33,74,67,63,120,118,12,12951333,1458339,9692,5544,8.880879548582325,1.7481962481962483,56,56,31,8,1.8064516129032258,0.6964285714285714,369,0.023619023234974078,0.16071428571428573,58.69768503423541,11.644776212114985,0,0,0,True,baseline_day4.pcap
29038168,1742290080,471,2566.9,326.9936305732484,428.85366129303475,0,19,17,24,23,33,35,47,7,65309,69321,147,209,0.9421243201915726,0.7033492822966507,2,2,4,3,0.5,3.5,6,0.012738853503184714,0.44,75.03403141361257,55.84052080101739,0,0,0,True,baseline_day4.pcap
29038169,1742290140,318,1343.2833333333333,253.4496855345912,358.39905508884976,0,18,18,24,22,32,38,45,5,25123,49679,113,160,0.5057066366070171,0.70625,4,4,8,6,0.5,3.5,15,0.04716981132075472,0.2857142857142857,80.66554054054055,52.89458820327749,0,0,0,True,baseline_day4.pcap
29038170,1742290200,5199,90269.15,1041.7674552798615,658.7612874944994,0,23,19,36,31,40,57,65,10,5121364,163551,3561,1390,31.313559684746654,2.561870503597122,10,10,7,5,1.4285714285714286,1.2,44,0.008463165993460281,0.3548387096774194,58.06785428342674,16.73412155265088,0,0,0,True,baseline_day4.pcap
29038171,1742290260,8830,159129.6,1081.288335220838,651.6619606619568,0,21,19,42,36,35,63,72,13,9349799,186898,6369,2341,50.02621215850357,2.720632208457924,2,2,3,2,0.6666666666666666,2.5,159,0.018006795016987542,0.3333333333333333,57.589617798060466,12.546888011378178,0,0,0,True,baseline_day4.pcap
29038172,1742290320,523,1478.2,169.5831739961759,194.8583793814491,0,17,15,30,30,32,49,42,5,5780,24162,65,112,0.2392186077311481,0.5803571428571429,20,20,22,5,0.9090909090909091,1.35,3,0.0057361376673040155,0.45454545454545453,88.81313131313131,72.44775497768022,0,0,0,True,baseline_day4.pcap
29038173,1742290380,642,3843.4166666666665,359.1978193146417,512.2294101822745,0,23,19,40,37,38,63,73,12,153819,59431,248,263,2.5881947131968164,0.9429657794676806,14,14,13,6,1.0769230769230769,1.3571428571428572,21,0.03271028037383177,0.3548387096774194,66.54078014184397,35.68285397045036,0,0,0,True,baseline_day4.pcap
29038174,1742290440,551,1723.2666666666667,187.65154264972776,271.4695207919958,0,17,16,36,33,32,57,48,7,20346,25715,90,129,0.7912113552401322,0.6976744186046512,31,31,22,9,1.4090909090909092,1.0,11,0.019963702359346643,0.375,87.26748971193416,63.4893339659766,0,0,0,True,baseline_day4.pcap
29038175,1742290500,1430,15977.75,670.3951048951049,680.0501553725223,0,19,18,24,24,33,37,45,6,81042,869482,565,795,0.0932072199309474,0.710691823899371,8,8,14,6,0.5714285714285714,2.5,79,0.05524475524475524,0.4230769230769231,65.5159420289855,27.301465816083653,0,0,0,True,baseline_day4.pcap
29038176,1742290560,1746,10621.666666666666,365.0057273768614,510.12727784411317,0,24,23,84,78,46,149,157,15,313056,312847,718,936,1.000668058188188,0.7670940170940171,98,98,92,2,1.065217391304348,0.9591836734693877,35,0.02004581901489118,0.23684210526315788,77.59426229508196,29.982213929102233,0,0,0,True,baseline_day4.pcap
29038177,1742290620,19218,353394.23333333334,1103.3226142158394,643.0127893581663,0,21,17,30,27,34,47,53,8,20756066,432949,13957,5176,47.9411339441828,2.696483771251932,6,6,2,3,3.0,0.8333333333333334,135,0.007024664377146425,0.35714285714285715,56.92485911083281,7.768897003513441,0,0,0,True,baseline_day4.pcap
29038178,1742290680,957,9043.816666666668,567.0104493207941,650.0914780862478,0,24,20,50,43,41,79,97,18,110363,418465,352,478,0.2637329286798179,0.7364016736401674,8,8,7,1,1.1428571428571428,1.0,29,0.030303030303030304,0.29411764705882354,67.445295404814,32.430092543414716,0,0,0,True,baseline_day4.pcap
29038179,1742290740,769,2839.65,221.5591677503251,352.1690351720716,0,20,20,49,43,39,73,57,11,34704,66424,174,197,0.522461760809346,0.883248730964467,26,26,42,14,0.6190476190476191,2.1538461538461537,35,0.045513654096228866,0.21212121212121213,72.1159420289855,34.50024276266226,0,0,0,True,baseline_day4.pcap
29038180,1742290800,724,3488.866666666667,289.1325966850829,446.6463234139782,0,28,25,65,56,51,103,105,19,74044,88487,222,258,0.8367782838157017,0.8604651162790697,36,36,27,13,1.3333333333333333,1.1111111111111112,34,0.04696132596685083,0.17777777777777778,69.72430668841761,37.21000777147089,0,0,0,True,baseline_day4.pcap
29038181,1742290860,420,1374.4333333333334,196.34761904761905,318.2441457495406,0,23,24,61,41,44,85,91,15,20947,44440,88,163,0.47135463546354633,0.5398773006134969,20,20,10,5,2.0,0.75,19,0.04523809523809524,0.20512820512820512,77.60303030303031,51.218160751995605,0,0,0,True,baseline_day4.pcap
29038182,1742290920,1390,7354.05,317.4410071942446,450.21869399118634,0,45,65,219,108,109,313,329,46,29063,368526,133,882,0.07886282107639624,0.15079365079365079,379,379,96,16,3.9479166666666665,0.2955145118733509,428,0.3079136690647482,0.0784313725490196,70.3996913580247,33.38730537792122,0,0,0,True,baseline_day4.pcap
29038183,1742290980,2350,11656.7,297.61787234042555,427.87823424445645,0,72,75,206,150,149,338,351,27,309499,344314,770,1257,0.8988859006604437,0.6125696101829753,335,335,144,107,2.326388888888889,0.7492537313432835,510,0.2170212765957447,0.072992700729927,67.83356009070295,33.41794646337736,0,0,0,True,baseline_day4.pcap
29038184,1742291040,8690,96974.88333333333,669.5619102416571,650.6364600367453,0,60,64,331,227,125,538,513,68,4769616,840698,4632,2786,5.6733999605090055,1.6625987078248385,391,391,145,61,2.696551724137931,0.5268542199488491,286,0.03291139240506329,0.09734513274336283,60.28365261813538,22.24487831917454,0,0,0,True,baseline_day4.pcap
29038185,1742291100,986,6053.1,368.342799188641,488.5600236281098,0,32,38,84,53,68,123,139,23,83006,254364,258,502,0.3263276249783774,0.5139442231075697,17,17,37,21,0.4594594594594595,3.411764705882353,81,0.0821501014198783,0.20689655172413793,74.57208765859285,47.036738010105466,0,0,0,True,baseline_day4.pcap
29038186,1742291160,550,3208.133333333333,349.97818181818184,458.46664147149113,0,28,34,45,34,61,66,74,9,19763,148054,145,246,0.13348507976819268,0.5894308943089431,16,16,24,21,0.6666666666666666,2.8125,65,0.11818181818181818,0.21568627450980393,81.97087378640776,61.445169544900324,0,0,0,True,baseline_day4.pcap
29038187,1742291220,452,2391.6666666666665,317.4778761061947,448.0674204038355,0,15,21,41,31,32,57,49,2,26614,90385,96,153,0.2944515129722852,0.6274509803921569,24,24,21,11,1.1428571428571428,1.3333333333333333,64,0.1415929203539823,0.2413793103448276,73.24727272727273,39.52413234995208,0,0,0,True,baseline_day4.pcap
29038188,1742291280,2101,11046.783333333333,315.4721561161352,457.29243912311557,0,52,64,218,150,118,351,336,50,280197,232803,465,872,1.203579850775119,0.533256880733945,364,364,85,26,4.2823529411764705,0.30494505494505497,351,0.16706330318895765,0.08411214953271028,69.6631884057971,41.2779992806904,0,0,0,True,baseline_day4.pcap
29038189,1742291340,249193,5287025.2,1272.9952767533598,473.0297107751796,0,8,10,192,192,17,368,58,52,0,0,0,0,0,0,143,143,80,33,1.7875,0.7902097902097902,184,0.0007383835019442761,0.0,118.07776995455419,22.183918877628457,1,0,0,True,baseline_day4.pcap
29038190,1742291400,131908,2715786.183333333,1235.3092382569669,511.24848045761524,0,4,5,41,37,7,67,10,4,0,0,0,0,0,0,27,27,21,17,1.2857142857142858,1.4074074074074074,225,0.0017057342996634017,0.0,115.54253664514304,24.584021790233052,0,0,0,True,baseline_day4.pcap
29038191,1742291460,2345,10002.116666666667,255.917697228145,367.5600556447496,0,5,6,96,96,10,175,99,6,0,0,0,0,0,0,140,140,156,32,0.8974358974358975,1.3428571428571427,47,0.020042643923240937,0.0,100.43366186504927,37.83239789001698,0,0,0,True,baseline_day4.pcap
29038192,1742291520,697,3189.25,274.54088952654234,370.932330111213,0,2,3,33,33,4,55,5,5,0,0,0,0,0,0,34,34,32,9,1.0625,1.2058823529411764,10,0.014347202295552367,0.0,235.9,57.3,0,0,0,True,baseline_day4.pcap
29038193,1742291580,774,3360.733333333333,260.5219638242894,354.01285602470534,0,4,5,37,36,8,64,26,6,0,0,0,0,0,0,32,32,16,7,2.0,0.71875,6,0.007751937984496124,0.0,109.82978723404256,62.51342635324683,0,0,0,True,baseline_day4.pcap
29038194,1742291640,598,3336.0666666666666,334.72240802675583,450.4318736229401,0,6,7,25,25,11,41,15,3,0,0,0,0,0,0,10,10,5,3,2.0,0.8,7,0.011705685618729096,0.0,93.12820512820512,40.168350525730105,0,0,0,True,baseline_day4.pcap
29038195,1742291700,508,2259.5666666666666,266.87795275590554,360.9707505356431,0,4,5,39,39,7,67,8,5,0,0,0,0,0,0,30,30,25,8,1.2,1.1,5,0.00984251968503937,0.0,202.34782608695653,81.13628293382425,0,0,0,True,baseline_day4.pcap
29034211,1742052660,327,1507.8,276.6605504587156,438.09917230463805,0,17,18,37,33,32,55,62,15,26484,47060,64,118,0.5627709307267318,0.5423728813559322,8,8,4,0,2.0,0.5,7,0.021406727828746176,0.34615384615384615,94.17622950819673,66.63306119937597,0,0,0,True,baseline_day3.pcap
29034212,1742052720,3579,41266.65,691.81307627829,683.0131473634817,0,23,23,82,80,42,148,155,14,318282,2141048,1391,2035,0.1486571062395612,0.6835380835380835,99,99,43,55,2.302325581395349,0.98989898989899,122,0.034087734003911706,0.24324324324324326,63.648462201782124,22.617957983888818,0,0,0,True,baseline_day3.pcap
29034213,1742052780,4876,54145.933333333334,666.2748154224774,688.6160273854623,0,23,23,99,90,45,149,141,21,198665,2953235,1377,2375,0.06727029850316686,0.5797894736842105,65,65,47,24,1.3829787234042554,1.0923076923076922,147,0.03014766201804758,0.3142857142857143,62.672821846553965,21.690843560772002,0,0,0,True,baseline_day3.pcap
29034214,1742052840,1087,8822.283333333333,486.9705611775529,599.5374812350474,0,22,22,50,48,43,81,75,15,45609,418055,246,429,0.10909808518017965,0.5734265734265734,29,29,24,7,1.2083333333333333,1.0689655172413792,11,0.010119595216191352,0.375,70.99862825788752,43.327809059527176,0,0,0,True,baseline_day3.pcap
29034215,1742052900,2776,35793.0,773.6239193083574,684.2140212411795,0,21,21,43,42,40,72,81,14,171545,1960066,921,1729,0.08752001208122584,0.5326778484673221,20,20,22,3,0.9090909090909091,1.25,31,0.0111671469740634,0.3125,63.684814814814814,24.436863299709096,0,0,0,True,baseline_day3.pcap
29034216,1742052960,2177,24471.55,674.4570509875977,672.7869167081402,0,24,21,57,53,44,96,105,22,147740,1298028,754,1237,0.1138188082229351,0.6095392077607114,20,20,19,2,1.0526315789473684,1.05,68,0.03123564538355535,0.2857142857142857,67.87523992322457,29.687072048678612,0,0,0,True,baseline_day3.pcap
29034217,1742053020,1479,16455.466666666667,667.5645706558486,668.5551694462529,0,23,22,45,43,43,74,86,17,154697,816919,518,836,0.18936638761003233,0.6196172248803827,28,28,22,0,1.2727272727272727,0.7857142857142857,41,0.027721433400946585,0.3235294117647059,68.85795053003534,33.896896759643774,0,0,0,True,baseline_day3.pcap
29034218,1742053080,725,7163.75,592.8620689655172,633.2452988860135,0,23,24,51,48,42,85,90,15,334042,82430,337,264,4.052432366856727,1.2765151515151516,14,14,10,0,1.4,0.7142857142857143,7,0.009655172413793104,0.175,67.0,35.74246908630603,0,0,0,True,baseline_day3.pcap
29034219,1742053140,3420,51999.416666666664,912.2704678362574,656.3171945698857,0,22,22,42,39,41,71,82,10,1857185,1248183,1927,1385,1.4879108271783865,1.3913357400722022,30,30,30,4,1.0,1.1333333333333333,4,0.0011695906432748538,0.3333333333333333,62.03154761904762,26.439444828569503,0,0,0,True,baseline_day3.pcap
29034220,1742053200,3779,63225.51666666667,1003.845197142101,628.2183914040672,0,30,31,60,49,56,99,106,15,3109414,671617,2641,1027,4.6297428445081055,2.5715676728334955,30,30,16,8,1.875,0.8,22,0.005821645938078857,0.17307692307692307,58.35327102803738,19.66276171461262,0,0,0,True,baseline_day3.pcap
29034221,1742053260,2797,25069.716666666667,537.7844118698606,580.4887677727428,0,30,30,71,58,57,119,125,21,394216,1094409,1075,1579,0.3602090260588135,0.6808106396453452,30,30,24,1,1.25,0.8333333333333334,0,0.0,0.17647058823529413,65.37031647871953,29.56775436440434,0,0,0,True,baseline_day3.pcap
29034222,1742053320,4063,48920.566666666666,722.4302239724342,682.3635470403116,0,27,28,77,67,50,133,137,25,361596,2557650,1514,2396,0.14137821828631753,0.6318864774624374,45,45,46,0,0.9782608695652174,1.0222222222222221,171,0.042087127738124536,0.1702127659574468,62.17567567567568,19.491885555826567,0,0,0,True,baseline_day3.pcap
29034223,1742053380,5093,57104.566666666666,672.7418024739839,675.2452830764205,0,25,27,80,80,51,142,113,14,266071,3032611,1648,2654,0.08773660716788273,0.6209495101733233,94,94,65,17,1.4461538461538461,0.8723404255319149,233,0.04574906734733949,0.20930232558139536,62.575847846012834,24.03702600655727,0,0,0,True,baseline_day3.pcap
29034224,1742053440,1965,18378.45,561.1740458015267,642.3916185560103,0,20,24,62,56,41,100,85,12,107876,924793,590,934,0.11664880681406542,0.6316916488222698,36,36,35,16,1.0285714285714285,1.4166666666666667,32,0.01628498727735369,0.2571428571428571,65.65904761904761,30.971486206237007,0,0,0,True,baseline_day3.pcap
29034225,1742053500,661,3917.1666666666665,355.5673222390318,526.4673151962859,0,23,26,39,37,47,62,68,9,39750,174351,213,313,0.2279883682915498,0.6805111821086262,6,6,5,4,1.2,1.5,12,0.018154311649016642,0.225,75.88078291814946,48.02418230662319,0,0,0,True,baseline_day3.pcap
29034226,1742053560,403,1768.45,263.2928039702233,441.3480968053178,0,18,20,37,36,34,59,62,9,47141,45349,130,141,1.0395157555844672,0.9219858156028369,4,4,4,4,1.0,2.0,0,0.0,0.1875,64.30914826498423,35.89494413007277,0,0,0,True,baseline_day3.pcap
29034227,1742053620,332,2362.233333333333,426.9096385542169,580.3996579247324,0,19,21,39,37,38,61,57,7,104858,28319,134,108,3.7027437409513047,1.2407407407407407,9,9,9,8,1.0,1.8888888888888888,1,0.0030120481927710845,0.14285714285714285,59.289855072463766,20.17431388074217,0,0,0,True,baseline_day3.pcap
